1,389
2,62
3,20453
4,453
5,185
6,702
7,348
8,705
9,143
10,279
11,14
12,73
13,55
14,93
15,703
16,28
17,212
18,105
19,3175
20,272
21,10020
22,76
23,665
24,44214
25,78
26,197
27,642
28,289
29,524
30,829
31,598
32,15
33,901
34,903
35,562
36,17654
37,68718
38,968
39,141
40,996
41,935
42,1417
43,38
44,5961
45,275
46,309
47,550
48,12
49,13
50,600
51,783
52,98
53,770
54,489
55,769
56,13223
57,137
58,12445
59,11787
60,949
61,288
62,205
63,10191
64,429
65,7984
66,46738
67,27205
68,89
69,10775
70,16869
71,5915
72,77338
73,3078
74,1585
75,103663
76,578
77,329
78,81
79,24
80,2118
81,947
82,87827
83,100
84,832
85,24238
86,77
87,19
88,70
89,3082
90,128
91,585
92,762
93,583
94,3083
95,322
96,10774
97,6977
98,213
99,303
100,11216
101,654
102,311
103,510
104,5924
105,975
106,391
107,797
108,22
109,792
110,539
111,680
112,1578
113,85
114,380
115,11645
116,2062
117,567
118,223
119,641
120,500
121,1366
122,804
123,1580
124,805
125,857
126,111
127,424
128,807
129,11324
130,187
131,872
132,993
133,12405
134,107
135,239
136,235
137,13475
138,1892
139,845
140,599
141,7508
142,103
143,280
144,284
145,74643
146,24428
147,887
148,115
149,910
150,2503
151,826
152,155
153,11778
154,1422
155,1955
156,9552
157,961
158,238
159,962
160,37247
161,596
162,914
163,5925
164,497
165,49051
166,990
167,10098
168,247,
169,45269
170,8587
171,121
172,963
173,11697
174,982
175,603
176,3112
177,423
178,1124
179,2493
180,278
181,694
182,274
183,745
184,9277
185,218
186,1091
187,1092
188,3090
189,37165
190,117
191,629
192,576
193,630
194,7345
195,595
196,8392
197,1480
198,862
199,627
200,110
